diameter,x_center,Re,Cd,channel_height,U_inlet,blockage_ratio,flow_regime
0.289693,1.315086,28.97,1.39484,2.0,0.001,0.1448465,0
0.289693,1.420821,28.97,1.38483,2.0,0.001,0.1448465,0
0.289693,1.527817,28.97,1.38347,2.0,0.001,0.1448465,0
0.289693,1.629998,28.97,1.37556,2.0,0.001,0.1448465,0
0.289693,1.736917,28.97,1.38215,2.0,0.001,0.1448465,0
0.289693,1.842592,28.97,1.3697,2.0,0.001,0.1448465,0
0.289693,1.944981,28.97,1.3712,2.0,0.001,0.1448465,0
0.289693,2.053198,28.97,1.37531,2.0,0.001,0.1448465,0
0.289693,2.156161,28.97,1.37028,2.0,0.001,0.1448465,0
0.289693,2.260869,28.97,1.37817,2.0,0.001,0.1448465,0
0.289693,2.370784,28.97,1.3712,2.0,0.001,0.1448465,0
0.289693,2.683182,28.97,1.37041,2.0,0.001,0.1448465,0
0.289693,2.580571,28.97,1.36824,2.0,0.001,0.1448465,0
0.289693,2.476135,28.97,1.37716,2.0,0.001,0.1448465,0
0.289693,2.787356,28.97,1.37953,2.0,0.001,0.1448465,0
0.289693,2.895706,28.97,1.36891,2.0,0.001,0.1448465,0
0.289693,2.999685,28.97,1.3789,2.0,0.001,0.1448465,0
0.310022,1.209432,31.0,1.41405,2.0,0.001,0.155011,0
0.310022,1.103366,31.0,1.4277,2.0,0.001,0.155011,0
0.310022,1.000589,31.0,1.45097,2.0,0.001,0.155011,0
0.310022,1.315086,31.0,1.40474,2.0,0.001,0.155011,0
0.310022,1.527817,31.0,1.39458,2.0,0.001,0.155011,0
0.310022,1.420821,31.0,1.39944,2.0,0.001,0.155011,0
0.310022,1.842592,31.0,1.3923,2.0,0.001,0.155011,0
0.310022,1.629998,31.0,1.39546,2.0,0.001,0.155011,0
0.310022,1.736917,31.0,1.39344,2.0,0.001,0.155011,0
0.310022,1.944981,31.0,1.38835,2.0,0.001,0.155011,0
0.310022,2.156161,31.0,1.38203,2.0,0.001,0.155011,0
0.310022,2.053198,31.0,1.38538,2.0,0.001,0.155011,0
0.310022,2.260869,31.0,1.38768,2.0,0.001,0.155011,0
0.310022,2.476135,31.0,1.38514,2.0,0.001,0.155011,0
0.310022,2.370784,31.0,1.38488,2.0,0.001,0.155011,0
0.310022,2.580571,31.0,1.38811,2.0,0.001,0.155011,0
0.310022,2.683182,31.0,1.38565,2.0,0.001,0.155011,0
0.310022,2.787356,31.0,1.38798,2.0,0.001,0.155011,0
0.310022,2.999685,31.0,1.38804,2.0,0.001,0.155011,0
0.332074,1.000589,33.21,1.46922,2.0,0.001,0.166037,0
0.310022,2.895706,31.0,1.38519,2.0,0.001,0.155011,0
0.332074,1.103366,33.21,1.44848,2.0,0.001,0.166037,0
0.332074,1.315086,33.21,1.42586,2.0,0.001,0.166037,0
0.332074,1.209432,33.21,1.43522,2.0,0.001,0.166037,0
0.332074,1.629998,33.21,1.40659,2.0,0.001,0.166037,0
0.332074,1.527817,33.21,1.41118,2.0,0.001,0.166037,0
0.332074,1.420821,33.21,1.41447,2.0,0.001,0.166037,0
0.332074,1.736917,33.21,1.40542,2.0,0.001,0.166037,0
0.332074,1.842592,33.21,1.40151,2.0,0.001,0.166037,0
0.332074,1.944981,33.21,1.39969,2.0,0.001,0.166037,0
0.332074,2.053198,33.21,1.40265,2.0,0.001,0.166037,0
0.332074,2.156161,33.21,1.40056,2.0,0.001,0.166037,0
0.332074,2.260869,33.21,1.40225,2.0,0.001,0.166037,0
0.332074,2.370784,33.21,1.39879,2.0,0.001,0.166037,0
0.332074,2.476135,33.21,1.40464,2.0,0.001,0.166037,0
0.332074,2.580571,33.21,1.39807,2.0,0.001,0.166037,0
0.332074,2.683182,33.21,1.39724,2.0,0.001,0.166037,0
0.332074,2.787356,33.21,1.40015,2.0,0.001,0.166037,0
0.332074,2.895706,33.21,1.39801,2.0,0.001,0.166037,0
0.332074,2.999685,33.21,1.40018,2.0,0.001,0.166037,0
