diameter,x_center,U_inlet,Re,Cd
0.351,1.332,17.5,409500.0,1.3088641897784754
0.351,1.332,20.0,467999.99999999994,1.314258404558405
0.351,1.332,5.0,116999.99999999999,1.2948330484330486
0.351,1.332,7.5,175499.99999999997,1.2745469325735992
0.351,1.664,10.0,233999.99999999997,1.2738074074074075
0.351,1.664,12.5,292499.99999999994,1.283158792022792
0.351,1.664,15.0,350999.99999999994,1.2722456473567585
0.351,1.664,17.5,409500.0,1.2677808709808709
0.351,1.664,20.0,467999.99999999994,1.2669692307692308
0.351,1.664,5.0,116999.99999999999,1.305225754985755
0.351,1.664,7.5,175499.99999999997,1.279773700538145
0.351,2.004,10.0,233999.99999999997,1.2586324786324787
0.351,2.004,12.5,292499.99999999994,1.270344205128205
0.351,2.004,15.0,350999.99999999994,1.2701994301994302
0.351,2.004,17.5,409500.0,1.2724471887900461
0.351,2.004,20.0,467999.99999999994,1.2780532763532766
0.351,2.004,5.0,116999.99999999999,1.2857203418803422
0.351,2.004,7.5,175499.99999999997,1.2542292117758784
0.351,2.332,10.0,233999.99999999997,1.2535589743589746
0.351,2.332,12.5,292499.99999999994,1.2530368547008546
0.351,2.332,15.0,350999.99999999994,1.2476935739157964
0.351,2.332,17.5,409500.0,1.2457345659631376
0.351,2.332,20.0,467999.99999999994,1.2442048433048436
0.351,2.332,5.0,116999.99999999999,1.2957884900284904
0.351,2.332,7.5,175499.99999999997,1.2593548844571067
0.351,2.659,10.0,233999.99999999997,1.2520387464387466
0.351,2.659,12.5,292499.99999999994,1.2599167635327637
0.351,2.659,15.0,350999.99999999994,1.2630153846153847
0.351,2.659,17.5,409500.0,1.2665990348276064
0.351,2.659,20.0,467999.99999999994,1.2727364672364676
0.351,2.659,5.0,116999.99999999999,1.28580603988604
0.351,2.659,7.5,175499.99999999997,1.2520987147831593
0.351,2.998,10.0,233999.99999999997,1.170665527065527
0.351,2.998,12.5,292499.99999999994,1.181892923076923
0.351,2.998,15.0,350999.99999999994,1.1824653371320037
0.351,2.998,17.5,409500.0,1.175122832722833
0.351,2.998,20.0,467999.99999999994,1.1822629629629633
0.351,2.998,5.0,116999.99999999999,1.21481754985755
0.351,2.998,7.5,175499.99999999997,1.1698340993985439
0.4,1.0,10.0,266666.6666666667,1.368487
0.4,1.0,12.5,333333.3333333333,1.36551552
0.4,1.0,15.0,400000.0,1.352168
0.4,1.0,17.5,466666.6666666666,1.343682612244898
0.4,1.0,20.0,533333.3333333334,1.3401045
0.4,1.0,5.0,133333.33333333334,1.4003048
0.4,1.0,7.5,200000.0,1.3814750222222223
0.4,1.332,10.0,266666.6666666667,1.280739
0.4,1.332,12.5,333333.3333333333,1.30861824
0.4,1.332,15.0,400000.0,1.3158862222222223
0.4,1.332,17.5,466666.6666666666,1.3224515918367346
0.4,1.332,20.0,533333.3333333334,1.33181625
0.4,1.332,5.0,133333.33333333334,1.2720376
0.4,1.332,7.5,200000.0,1.2607930666666667
0.4,1.664,10.0,266666.6666666667,1.307146
0.4,1.664,12.5,333333.3333333333,1.3242464
0.4,1.664,15.0,400000.0,1.3200951111111112
0.4,1.664,17.5,466666.6666666666,1.329390367346939
0.4,1.664,20.0,533333.3333333334,1.3325514999999999
0.4,1.664,5.0,133333.33333333334,1.2933664
0.4,1.664,7.5,200000.0,1.289676088888889
0.4,2.004,10.0,266666.6666666667,1.282832
0.4,2.004,12.5,333333.3333333333,1.3041830399999998
0.4,2.004,15.0,400000.0,1.309912888888889
0.4,2.004,17.5,466666.6666666666,1.316217142857143
0.4,2.004,20.0,533333.3333333334,1.3190317500000002
0.4,2.004,5.0,133333.33333333334,1.264582
0.4,2.004,7.5,200000.0,1.2560083555555555
0.4,2.332,10.0,266666.6666666667,1.30548
0.4,2.332,12.5,333333.3333333333,1.31262016
0.4,2.332,15.0,400000.0,1.3111262222222222
0.4,2.332,17.5,466666.6666666666,1.312812081632653
0.4,2.332,20.0,533333.3333333334,1.3071505
0.4,2.332,5.0,133333.33333333334,1.2795624
0.4,2.332,7.5,200000.0,1.3057342222222224
0.4,2.659,10.0,266666.6666666667,1.289819
0.4,2.659,12.5,333333.3333333333,1.2977990400000001
0.4,2.659,15.0,400000.0,1.2914195555555557
0.4,2.659,17.5,466666.6666666666,1.2926550204081633
0.4,2.659,20.0,533333.3333333334,1.2877497500000001
0.4,2.659,5.0,133333.33333333334,1.330936
0.4,2.659,7.5,200000.0,1.2915655111111113
0.4,2.998,10.0,266666.6666666667,1.319224
0.4,2.998,12.5,333333.3333333333,1.3361286399999999
0.4,2.998,15.0,400000.0,1.331231111111111
0.4,2.998,17.5,466666.6666666666,1.335901387755102
0.4,2.998,20.0,533333.3333333334,1.3389555
0.4,2.998,5.0,133333.33333333334,1.3316903999999998
